Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,2,1,1,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,excellent,security,Robotics,Cybersecurity Firms,yes,Autobiographies,Management,smart worker,no,yes,IT Project Manager
10,10,5,9,yes,yes,Quantum Computing Certification,Cloud Computing,excellent,good,developer,Cloud Computing,developer,yes,Science fiction,Technical,hard worker,yes,yes,Cloud Solutions Architect
3,9,10,7,no,yes,ai for healthcare,AI for Healthcare,good,excellent,cloud computing,AI Research,Big Data Companies,yes,Action and Adventure,Technical,hard worker,no,no,AI Specialist
1,9,10,6,no,no,blockchain developer,Blockchain Technologies,good,medium,cloud computing,Blockchain Development,Systems Analysis Firms,no,Cookbooks,Technical,smart worker,no,no,Blockchain Developer
4,8,10,7,yes,no,Certified ERP Consultant,ERP Systems,medium,good,developer,ERP,Product based,no,Art,Management,smart worker,no,no,ERP Consultant
2,3,8,8,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,cloud computing,Robotics,Data Science Firms,yes,Autobiographies,Management,smart worker,no,no,IT Project Manager
9,9,5,8,no,no,Robotics Engineering Certification,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,no,Comics,Technical,hard worker,no,no,Cloud Solutions Architect
5,10,2,7,no,yes,Robotics Engineering Certification,Cloud Computing,very good,good,security,Cloud Computing,developer,no,Action and Adventure,Technical,hard worker,yes,no,Cloud Solutions Architect
8,8,1,2,no,yes,Data Science,AI,good,very good,cloud computing,Data Science,IoT Startups,yes,Comics,Technical,smart worker,yes,no,Data Scientist
4,6,10,7,no,yes,Certified ERP Consultant,ERP Systems,good,medium,security,ERP,Service Based,no,Drama,Management,smart worker,yes,no,ERP Consultant
9,10,7,1,yes,yes,Data Science,Data Science,medium,excellent,developer,AI,security,yes,Comics,Technical,smart worker,yes,yes,Big Data Engineer
3,5,10,1,no,no,Quantum Computing Certification,Cloud Computing,medium,very good,cloud computing,Cloud Computing,developer,no,Drama,Technical,smart worker,no,no,Cloud Solutions Architect
8,10,5,3,yes,yes,Robotics Engineering Certification,Cloud Computing,very good,excellent,cloud computing,Cloud Computing,developer,no,Travel,Technical,smart worker,no,no,Cloud Solutions Architect
4,2,5,1,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,security,Robotics,AI Research Labs,yes,Math,Management,hard worker,no,yes,IT Project Manager
3,9,7,1,no,no,Data Science,Machine Learning,excellent,very good,developer,Data Science,IoT Startups,no,Drama,Technical,smart worker,yes,yes,Data Scientist
1,4,4,1,no,no,ai for healthcare,AI for Healthcare,medium,excellent,security,AI Research,Big Data Companies,no,History,Technical,hard worker,no,yes,AI Specialist
2,3,2,5,no,yes,Robotics Engineering Certification,Cloud Computing,very good,excellent,security,Cloud Computing,developer,no,Drama,Technical,hard worker,no,no,Cloud Solutions Architect
5,9,10,1,no,yes,Product Management Professional (PMP),Product Management,excellent,medium,developer,Product Management,Sales and Marketing,no,Health,Management,smart worker,yes,yes,Product Manager
8,0,9,1,no,yes,Robotics Engineering Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,yes,Science fiction,Technical,hard worker,no,no,Cloud Solutions Architect
6,9,9,7,yes,no,Machine Learning,AI,medium,very good,cloud computing,Machine Learning,Web Services,no,Comics,Technical,hard worker,yes,no,Machine Learning Engineer
4,4,7,2,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),medium,good,security,Robotics,Data Science Firms,yes,Fantasy,Management,hard worker,no,yes,IT Project Manager
8,7,7,4,no,no,devops certified engineer,DevOps,good,good,developer,DevOps,Web Services,yes,Math,Technical,smart worker,no,yes,DevOps Engineer
3,2,4,1,yes,yes,Certified AI Engineer,Cloud Computing,good,medium,security,Cloud Computing,developer,no,Guide,Technical,hard worker,yes,no,Cloud Solutions Architect
3,2,2,10,yes,no,devops certified engineer,DevOps,medium,medium,security,DevOps,Data Science Firms,yes,Action and Adventure,Technical,hard worker,yes,no,DevOps Engineer
6,2,9,6,no,no,Robotics Engineering Certification,Cloud Computing,very good,very good,security,Cloud Computing,developer,yes,Art,Technical,smart worker,yes,no,Cloud Solutions Architect
3,8,10,9,no,no,Certified AI Engineer,Cloud Computing,excellent,good,security,Cloud Computing,developer,yes,Horror,Technical,hard worker,no,yes,Cloud Solutions Architect
9,2,1,6,yes,yes,blockchain developer,Blockchain Technologies,excellent,very good,security,Blockchain Development,security,no,Series,Technical,smart worker,yes,yes,Blockchain Developer
7,0,2,2,yes,yes,Quantum Computing Certification,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,yes,Journals,Technical,smart worker,yes,yes,Cloud Solutions Architect
3,1,8,3,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,very good,developer,Robotics,IoT Startups,yes,Series,Management,hard worker,no,no,IT Project Manager
10,5,3,2,yes,yes,Robotics Engineering Certification,Cloud Computing,excellent,good,developer,Cloud Computing,developer,no,Travel,Technical,hard worker,yes,yes,Cloud Solutions Architect
4,3,6,5,yes,no,Product Management Professional (PMP),Product Management,medium,excellent,security,Product Management,Service Based,yes,Autobiographies,Management,smart worker,yes,yes,Product Manager
9,2,1,7,yes,yes,Quantum Computing Certification,Cloud Computing,excellent,excellent,security,Cloud Computing,developer,no,Autobiographies,Technical,hard worker,no,no,Cloud Solutions Architect
2,8,8,1,no,no,Cybersecurity,Cybersecurity,excellent,excellent,security,Cybersecurity,Cybersecurity Firms,yes,Drama,Technical,hard worker,no,no,Cybersecurity Analyst
6,3,4,1,no,yes,blockchain developer,Blockchain Technologies,medium,medium,security,Blockchain Development,Product based,no,Horror,Technical,hard worker,yes,yes,Blockchain Developer
6,1,8,2,no,yes,Product Management Professional (PMP),Product Management,very good,good,cloud computing,Product Management,Service Based,yes,Childrens,Management,hard worker,yes,no,Product Manager
7,7,10,8,yes,yes,Quantum Computing Certification,Cloud Computing,very good,medium,security,Cloud Computing,developer,yes,Action and Adventure,Technical,hard worker,yes,no,Cloud Solutions Architect
6,2,5,8,yes,yes,Cybersecurity,Cybersecurity,very good,medium,cloud computing,Machine Learning,Big Data Companies,no,Dictionaries,Technical,hard worker,yes,no,Cybersecurity Analyst
5,5,9,4,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,good,cloud computing,Robotics,security,yes,Science fiction,Management,smart worker,no,yes,IT Project Manager
9,5,4,1,yes,yes,Machine Learning,Machine Learning,excellent,excellent,security,Machine Learning,Data Science Firms,yes,Horror,Technical,hard worker,yes,no,Machine Learning Engineer
10,10,10,5,yes,no,Product Management Professional (PMP),Product Management,good,very good,cloud computing,Product Management,Product based,yes,Art,Management,smart worker,no,yes,Product Manager
7,5,10,3,yes,yes,Machine Learning,Machine Learning,very good,good,cloud computing,Machine Learning,AI Research Labs,yes,Science,Technical,hard worker,yes,yes,Machine Learning Engineer
6,2,6,4,yes,no,ai for healthcare,AI for Healthcare,good,good,cloud computing,AI Research,Web Services,yes,Comics,Technical,hard worker,yes,no,AI Specialist
9,3,8,7,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),good,medium,cloud computing,Robotics,IoT Startups,no,Science fiction,Management,hard worker,no,yes,IT Project Manager
5,0,5,6,yes,yes,ar/vr development,AR/VR Development,good,excellent,cloud computing,Web Development,Sales and Marketing,no,Science fiction,Technical,smart worker,yes,no,Systems Analyst
1,1,6,7,yes,yes,Machine Learning,Machine Learning,very good,medium,security,Machine Learning,developer,no,History,Technical,smart worker,yes,no,Machine Learning Engineer
5,8,9,2,no,no,Robotics Engineering Certification,Cloud Computing,excellent,very good,cloud computing,Cloud Computing,developer,no,Cookbooks,Technical,hard worker,no,no,Cloud Solutions Architect
6,1,9,8,no,no,Cybersecurity,Cybersecurity,very good,medium,developer,AI,Big Data Companies,no,Math,Technical,hard worker,no,no,Cybersecurity Analyst
2,0,2,6,yes,no,Certified AI Engineer,Cloud Computing,very good,excellent,cloud computing,Cloud Computing,developer,yes,Horror,Technical,smart worker,yes,yes,Cloud Solutions Architect
2,4,7,8,no,yes,ar/vr development,AR/VR Development,medium,excellent,security,Software Development,Product based,yes,Autobiographies,Technical,smart worker,no,yes,Systems Analyst
1,8,5,4,no,yes,Quantum Computing Certification,Cloud Computing,good,medium,cloud computing,Cloud Computing,developer,no,Childrens,Technical,hard worker,no,yes,Cloud Solutions Architect
4,6,7,7,yes,yes,Data Science,Data Science,very good,very good,developer,Data Science,security,yes,Drama,Technical,smart worker,no,no,Big Data Engineer
3,2,5,8,no,no,Robotics Engineering Certification,Cloud Computing,good,good,security,Cloud Computing,developer,no,Poetry,Technical,smart worker,no,yes,Cloud Solutions Architect
2,3,4,1,yes,yes,Machine Learning,Machine Learning,very good,good,cloud computing,AI,AI Research Labs,yes,Mystery,Technical,hard worker,no,yes,Machine Learning Engineer
5,0,10,9,no,yes,Robotics Engineering Certification,Cloud Computing,very good,very good,developer,Cloud Computing,developer,no,Travel,Technical,hard worker,yes,no,Cloud Solutions Architect
1,8,1,7,no,no,devops certified engineer,DevOps,excellent,excellent,developer,DevOps,Product based,yes,Mystery,Technical,hard worker,no,yes,DevOps Engineer
3,3,6,10,no,no,Quantum Computing Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,no,Action and Adventure,Technical,smart worker,no,no,Cloud Solutions Architect
4,10,1,8,no,yes,Data Science,Data Science,good,very good,cloud computing,Machine Learning,AI Research Labs,yes,Action and Adventure,Technical,smart worker,no,no,Data Scientist
6,5,4,9,yes,yes,blockchain developer,Blockchain Technologies,very good,medium,cloud computing,Blockchain Development,developer,yes,Self help,Technical,smart worker,yes,yes,Blockchain Developer
6,4,4,8,yes,no,Quantum Computing Certification,Cloud Computing,medium,good,security,Cloud Computing,developer,yes,Action and Adventure,Technical,smart worker,yes,no,Cloud Solutions Architect
7,6,9,6,no,no,blockchain developer,Blockchain Technologies,excellent,medium,security,Blockchain Development,Product based,no,Series,Technical,smart worker,yes,no,Blockchain Developer
7,7,9,7,no,yes,Data Science,Data Science,excellent,good,developer,Machine Learning,Data Science Firms,no,Dictionaries,Technical,smart worker,yes,no,Big Data Engineer
10,0,9,7,yes,no,Product Management Professional (PMP),Product Management,very good,very good,security,Product Management,Product based,no,History,Management,smart worker,yes,yes,Product Manager
2,1,1,4,yes,no,ar/vr development,AR/VR Development,excellent,good,developer,Software Development,IoT Startups,yes,Cookbooks,Technical,hard worker,yes,yes,Systems Analyst
2,2,3,10,no,no,Data Science,Data Science,very good,very good,developer,AI,Product based,no,Fantasy,Technical,hard worker,yes,yes,Big Data Engineer
2,1,1,4,yes,yes,Quantum Computing Certification,Cloud Computing,excellent,medium,cloud computing,Cloud Computing,developer,no,Childrens,Technical,hard worker,yes,no,Cloud Solutions Architect
4,2,5,3,no,no,Product Management Professional (PMP),Product Management,medium,excellent,cloud computing,Product Management,Finance,no,Self help,Management,hard worker,yes,yes,Product Manager
4,2,4,3,yes,yes,Robotics Engineering Certification,Cloud Computing,medium,very good,developer,Cloud Computing,developer,yes,Guide,Technical,hard worker,no,yes,Cloud Solutions Architect
1,2,1,5,no,yes,Certified AI Engineer,Cloud Computing,medium,very good,cloud computing,Cloud Computing,developer,yes,Science,Technical,hard worker,yes,yes,Cloud Solutions Architect
2,8,2,1,yes,no,Machine Learning,AI,very good,medium,developer,AI,Big Data Companies,yes,Art,Technical,smart worker,yes,no,Machine Learning Engineer
2,10,9,3,yes,yes,Certified ERP Consultant,ERP Systems,excellent,medium,security,ERP,Finance,no,Horror,Management,hard worker,no,yes,ERP Consultant
2,0,5,1,yes,no,Data Science,AI,very good,medium,security,AI,Product based,no,Autobiographies,Technical,hard worker,no,no,Data Scientist
4,0,2,3,no,no,Certified AI Engineer,Cloud Computing,excellent,very good,security,Cloud Computing,developer,yes,Action and Adventure,Technical,smart worker,yes,no,Cloud Solutions Architect
1,0,8,5,yes,yes,Robotics Engineering Certification,Cloud Computing,very good,medium,security,Cloud Computing,developer,yes,Health,Technical,hard worker,yes,yes,Cloud Solutions Architect
9,6,5,2,yes,no,blockchain developer,Blockchain Technologies,good,excellent,developer,Blockchain Development,Systems Analysis Firms,yes,Journals,Technical,hard worker,no,yes,Blockchain Developer
5,1,7,1,no,yes,Quantum Computing Certification,Cloud Computing,very good,very good,security,Cloud Computing,developer,yes,Fantasy,Technical,smart worker,no,no,Cloud Solutions Architect
9,2,3,2,no,no,Data Science,Machine Learning,very good,very good,security,Machine Learning,developer,yes,Autobiographies,Technical,hard worker,no,yes,Big Data Engineer
3,4,10,8,yes,yes,Quantum Computing Certification,Cloud Computing,medium,medium,cloud computing,Cloud Computing,developer,yes,Drama,Technical,hard worker,yes,yes,Cloud Solutions Architect
6,10,8,6,no,no,Certified AI Engineer,Cloud Computing,good,excellent,security,Cloud Computing,developer,yes,Self help,Technical,hard worker,yes,yes,Cloud Solutions Architect
7,10,4,5,yes,yes,ai for healthcare,AI for Healthcare,very good,excellent,cloud computing,AI Research,Web Services,yes,Health,Technical,smart worker,yes,no,AI Specialist
10,1,10,10,no,no,Certified AI Engineer,Cloud Computing,medium,excellent,cloud computing,Cloud Computing,developer,yes,Poetry,Technical,smart worker,yes,yes,Cloud Solutions Architect
5,5,10,6,yes,no,ar/vr development,AR/VR Development,excellent,excellent,cloud computing,Software Development,developer,no,Guide,Technical,smart worker,yes,yes,Systems Analyst
3,5,5,1,yes,no,Quantum Computing Certification,Cloud Computing,medium,medium,security,Cloud Computing,developer,no,Childrens,Technical,hard worker,no,no,Cloud Solutions Architect
9,9,5,5,yes,yes,ar/vr development,AR/VR Development,very good,very good,cloud computing,Software Development,Web Services,yes,Poetry,Technical,smart worker,yes,no,Systems Analyst
7,6,10,5,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,cloud computing,Robotics,Big Data Companies,no,Art,Management,smart worker,no,yes,IT Project Manager
10,0,6,4,yes,no,Quantum Computing Certification,Cloud Computing,excellent,good,cloud computing,Cloud Computing,developer,no,Series,Technical,hard worker,yes,no,Cloud Solutions Architect
8,10,2,4,yes,yes,ai for healthcare,AI for Healthcare,medium,good,developer,AI Research,Web Services,no,Cookbooks,Technical,smart worker,yes,yes,AI Specialist
2,5,7,1,no,no,Product Management Professional (PMP),Product Management,very good,excellent,cloud computing,Product Management,Product based,yes,Journals,Management,hard worker,yes,yes,Product Manager
8,1,10,3,yes,no,ar/vr development,AR/VR Development,excellent,good,cloud computing,Web Development,Product based,yes,Horror,Technical,smart worker,yes,yes,Systems Analyst
9,10,7,9,no,no,Product Management Professional (PMP),Product Management,good,good,developer,Product Management,Finance,no,Guide,Management,hard worker,yes,no,Product Manager
8,8,7,5,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),good,good,developer,Robotics,Web Services,yes,Biographies,Management,hard worker,no,yes,IT Project Manager
2,4,6,1,yes,yes,Certified AI Engineer,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,no,Cookbooks,Technical,hard worker,yes,no,Cloud Solutions Architect
7,6,8,2,no,no,devops certified engineer,DevOps,medium,excellent,cloud computing,DevOps,Product based,yes,Cookbooks,Technical,smart worker,no,no,DevOps Engineer
4,9,1,9,no,no,ai for healthcare,AI for Healthcare,good,excellent,cloud computing,AI Research,Product based,yes,Health,Technical,smart worker,no,yes,AI Specialist
7,5,8,8,no,yes,Robotics Engineering Certification,Cloud Computing,medium,medium,cloud computing,Cloud Computing,developer,yes,Fantasy,Technical,hard worker,no,yes,Cloud Solutions Architect
9,5,4,2,no,no,ai for healthcare,AI for Healthcare,good,medium,cloud computing,AI Research,Product based,no,Math,Technical,smart worker,yes,yes,AI Specialist
3,10,1,7,no,no,Robotics Engineering Certification,Cloud Computing,excellent,good,security,Cloud Computing,developer,no,Self help,Technical,smart worker,no,yes,Cloud Solutions Architect
3,1,1,9,yes,yes,ai for healthcare,AI for Healthcare,very good,very good,developer,AI Research,Big Data Companies,no,Comics,Technical,hard worker,no,no,AI Specialist
4,1,7,4,yes,no,Product Management Professional (PMP),Product Management,excellent,good,security,Product Management,Finance,no,Horror,Management,smart worker,yes,yes,Product Manager
9,4,10,3,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),good,good,cloud computing,Robotics,Data Science Firms,no,Drama,Management,hard worker,no,yes,IT Project Manager
10,9,10,6,yes,no,Product Management Professional (PMP),Product Management,medium,good,cloud computing,Product Management,Service Based,no,Travel,Management,smart worker,yes,yes,Product Manager
1,0,1,10,no,yes,devops certified engineer,DevOps,medium,very good,security,DevOps,security,yes,Cookbooks,Technical,hard worker,no,yes,DevOps Engineer
2,8,1,6,no,no,Robotics Engineering Certification,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,yes,Fantasy,Technical,hard worker,no,no,Cloud Solutions Architect
6,1,6,10,yes,no,Data Science,Machine Learning,very good,excellent,cloud computing,Machine Learning,IoT Startups,no,Autobiographies,Technical,hard worker,yes,yes,Big Data Engineer
2,8,7,5,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,good,developer,Robotics,Data Science Firms,yes,Drama,Management,smart worker,yes,yes,IT Project Manager
5,9,8,4,yes,no,Machine Learning,AI,good,excellent,developer,AI,Big Data Companies,no,History,Technical,hard worker,no,yes,Machine Learning Engineer
5,3,3,8,no,no,Certified AI Engineer,Cloud Computing,medium,excellent,security,Cloud Computing,developer,no,Science fiction,Technical,smart worker,no,no,Cloud Solutions Architect
10,4,9,1,yes,yes,Certified ERP Consultant,ERP Systems,excellent,excellent,developer,ERP,Service Based,no,History,Management,hard worker,yes,no,ERP Consultant
6,3,7,10,no,no,Certified ERP Consultant,ERP Systems,good,good,developer,ERP,Product based,yes,Poetry,Management,smart worker,no,yes,ERP Consultant
9,3,5,10,yes,yes,Machine Learning,AI,very good,medium,cloud computing,Machine Learning,Product based,no,Childrens,Technical,hard worker,no,no,Machine Learning Engineer
7,6,2,9,no,no,ar/vr development,AR/VR Development,excellent,very good,security,Web Development,Web Services,no,Guide,Technical,smart worker,no,no,Systems Analyst
3,9,2,5,yes,no,blockchain developer,Blockchain Technologies,very good,excellent,security,Blockchain Development,developer,yes,Fantasy,Technical,hard worker,yes,no,Blockchain Developer
7,2,8,5,yes,yes,ai for healthcare,AI for Healthcare,good,very good,developer,AI Research,developer,yes,Dictionaries,Technical,hard worker,no,yes,AI Specialist
5,3,2,10,no,no,Data Science,Data Science,very good,good,cloud computing,Machine Learning,Product based,yes,Math,Technical,smart worker,no,yes,Big Data Engineer
8,1,7,7,yes,yes,Certified AI Engineer,Cloud Computing,very good,medium,cloud computing,Cloud Computing,developer,yes,History,Technical,smart worker,no,yes,Cloud Solutions Architect
6,6,7,7,yes,yes,Quantum Computing Certification,Cloud Computing,good,very good,developer,Cloud Computing,developer,yes,Journals,Technical,hard worker,yes,no,Cloud Solutions Architect
7,5,2,10,no,no,devops certified engineer,DevOps,excellent,good,developer,DevOps,security,no,Art,Technical,hard worker,no,yes,DevOps Engineer
9,2,3,6,yes,yes,Machine Learning,AI,good,excellent,developer,Machine Learning,AI Research Labs,yes,History,Technical,hard worker,yes,yes,Machine Learning Engineer
2,4,8,8,no,yes,Certified AI Engineer,Cloud Computing,very good,very good,cloud computing,Cloud Computing,developer,yes,Guide,Technical,hard worker,yes,yes,Cloud Solutions Architect
10,10,7,2,no,yes,Cybersecurity,Machine Learning,medium,excellent,security,Cybersecurity,security,yes,Self help,Technical,hard worker,yes,yes,Cybersecurity Analyst
9,3,2,6,no,yes,Product Management Professional (PMP),Product Management,excellent,medium,security,Product Management,Product based,no,Comics,Management,hard worker,yes,yes,Product Manager
1,0,5,4,yes,no,devops certified engineer,DevOps,excellent,good,security,DevOps,Systems Analysis Firms,yes,Self help,Technical,hard worker,yes,no,DevOps Engineer
4,0,3,4,no,yes,Robotics Engineering Certification,Cloud Computing,medium,excellent,cloud computing,Cloud Computing,developer,yes,Self help,Technical,hard worker,yes,no,Cloud Solutions Architect
5,9,2,3,yes,no,Machine Learning,Machine Learning,good,excellent,developer,AI,Data Science Firms,no,Health,Technical,smart worker,no,no,Machine Learning Engineer
1,1,4,7,yes,yes,blockchain developer,Blockchain Technologies,excellent,good,developer,Blockchain Development,Data Science Firms,yes,Art,Technical,hard worker,no,no,Blockchain Developer
7,9,4,9,no,yes,ar/vr development,AR/VR Development,medium,medium,security,Software Development,Big Data Companies,yes,Action and Adventure,Technical,hard worker,yes,no,Systems Analyst
10,6,5,4,yes,yes,ar/vr development,AR/VR Development,good,medium,cloud computing,Web Development,developer,yes,Health,Technical,smart worker,yes,yes,Systems Analyst
4,1,9,9,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,good,developer,Robotics,developer,yes,Horror,Management,hard worker,yes,no,IT Project Manager
1,4,10,6,no,yes,devops certified engineer,DevOps,medium,medium,security,DevOps,Testing and Maintainance Services,yes,Biographies,Technical,hard worker,no,no,DevOps Engineer
4,10,8,5,no,no,devops certified engineer,DevOps,good,excellent,security,DevOps,IoT Startups,yes,History,Technical,smart worker,no,no,DevOps Engineer
7,9,10,5,no,no,Certified ERP Consultant,ERP Systems,medium,good,cloud computing,ERP,Product based,no,Biographies,Management,smart worker,yes,no,ERP Consultant
2,6,1,5,no,yes,Data Science,Machine Learning,good,good,developer,Machine Learning,security,yes,Poetry,Technical,hard worker,no,no,Big Data Engineer
7,10,4,10,yes,no,blockchain developer,Blockchain Technologies,good,very good,cloud computing,Blockchain Development,Product based,yes,Cookbooks,Technical,hard worker,yes,yes,Blockchain Developer
5,2,2,8,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,excellent,security,Robotics,Cybersecurity Firms,yes,Horror,Management,hard worker,yes,no,IT Project Manager
4,6,4,7,yes,yes,blockchain developer,Blockchain Technologies,medium,good,cloud computing,Blockchain Development,developer,no,Poetry,Technical,smart worker,yes,no,Blockchain Developer
1,8,1,9,yes,yes,ar/vr development,AR/VR Development,excellent,excellent,cloud computing,Software Development,Big Data Companies,yes,Drama,Technical,smart worker,yes,no,Systems Analyst
5,2,3,4,no,yes,ar/vr development,AR/VR Development,excellent,very good,developer,Web Development,Sales and Marketing,no,Journals,Technical,hard worker,no,yes,Systems Analyst
3,2,10,10,yes,no,ai for healthcare,AI for Healthcare,excellent,very good,security,AI Research,Web Services,yes,Drama,Technical,smart worker,yes,yes,AI Specialist
4,9,2,6,no,yes,ar/vr development,AR/VR Development,very good,good,security,Software Development,developer,no,Childrens,Technical,smart worker,no,no,Systems Analyst
9,1,2,9,no,no,Machine Learning,AI,very good,very good,developer,AI,security,yes,Journals,Technical,smart worker,no,no,Machine Learning Engineer
2,0,9,3,yes,no,Product Management Professional (PMP),Product Management,excellent,excellent,security,Product Management,Product based,yes,History,Management,hard worker,no,yes,Product Manager
1,8,1,10,no,no,Quantum Computing Certification,Cloud Computing,good,medium,security,Cloud Computing,developer,no,Drama,Technical,smart worker,yes,no,Cloud Solutions Architect
9,3,1,9,yes,yes,Robotics Engineering Certification,Cloud Computing,medium,good,security,Cloud Computing,developer,no,Math,Technical,hard worker,no,yes,Cloud Solutions Architect
7,7,9,4,no,no,Data Science,Data Science,good,excellent,developer,Machine Learning,Product based,no,Travel,Technical,hard worker,no,yes,Data Scientist
1,6,2,10,no,no,Data Science,Machine Learning,excellent,very good,developer,Data Science,security,no,Fantasy,Technical,smart worker,no,yes,Data Scientist
10,2,2,2,yes,yes,Data Science,Machine Learning,excellent,good,developer,Data Science,Big Data Companies,yes,Science,Technical,smart worker,no,yes,Big Data Engineer
7,0,3,6,no,no,devops certified engineer,DevOps,medium,medium,developer,DevOps,security,yes,Math,Technical,hard worker,yes,yes,DevOps Engineer
5,4,3,1,no,yes,Cybersecurity,AI,very good,medium,developer,Cybersecurity,Big Data Companies,yes,Science,Technical,hard worker,yes,no,Cybersecurity Analyst
9,0,1,9,no,no,Product Management Professional (PMP),Product Management,excellent,excellent,security,Product Management,Service Based,yes,Art,Management,smart worker,no,no,Product Manager
3,2,9,10,yes,no,Robotics Engineering Certification,Cloud Computing,excellent,good,cloud computing,Cloud Computing,developer,no,Self help,Technical,smart worker,yes,yes,Cloud Solutions Architect
1,7,2,3,yes,no,Product Management Professional (PMP),Product Management,medium,excellent,developer,Product Management,Service Based,yes,Health,Management,smart worker,no,no,Product Manager
2,1,4,8,yes,no,Machine Learning,AI,good,excellent,security,AI,IoT Startups,yes,Childrens,Technical,hard worker,no,no,Machine Learning Engineer
10,1,10,1,yes,no,Robotics Engineering Certification,Cloud Computing,medium,very good,cloud computing,Cloud Computing,developer,yes,Art,Technical,smart worker,no,no,Cloud Solutions Architect
7,1,3,2,yes,no,devops certified engineer,DevOps,very good,medium,cloud computing,DevOps,Product based,yes,History,Technical,smart worker,no,no,DevOps Engineer
4,2,10,4,yes,no,Machine Learning,AI,very good,medium,security,AI,Web Services,yes,Science,Technical,hard worker,yes,no,Machine Learning Engineer
4,7,6,2,yes,yes,devops certified engineer,DevOps,medium,very good,developer,DevOps,developer,no,Action and Adventure,Technical,hard worker,no,no,DevOps Engineer
3,10,8,3,yes,yes,ar/vr development,AR/VR Development,good,medium,developer,Software Development,Product based,yes,History,Technical,smart worker,no,yes,Systems Analyst
3,7,3,3,yes,yes,Quantum Computing Certification,Cloud Computing,very good,very good,security,Cloud Computing,developer,no,Math,Technical,smart worker,no,yes,Cloud Solutions Architect
4,8,9,4,no,yes,ar/vr development,AR/VR Development,very good,very good,developer,Software Development,Web Services,yes,Horror,Technical,hard worker,yes,no,Systems Analyst
5,5,8,3,yes,no,Cybersecurity,Machine Learning,excellent,good,security,Machine Learning,AI Research Labs,no,Series,Technical,hard worker,no,yes,Cybersecurity Analyst
5,9,4,9,yes,no,Robotics Engineering Certification,Cloud Computing,medium,good,security,Cloud Computing,developer,no,Childrens,Technical,hard worker,no,no,Cloud Solutions Architect
5,8,2,3,no,no,Certified AI Engineer,Cloud Computing,excellent,excellent,cloud computing,Cloud Computing,developer,no,Action and Adventure,Technical,hard worker,yes,yes,Cloud Solutions Architect
4,5,8,7,no,yes,Robotics Engineering Certification,Cloud Computing,medium,excellent,cloud computing,Cloud Computing,developer,yes,Guide,Technical,smart worker,no,yes,Cloud Solutions Architect
1,7,10,10,no,no,devops certified engineer,DevOps,medium,very good,security,DevOps,Testing and Maintainance Services,no,Self help,Technical,hard worker,yes,no,DevOps Engineer
9,9,4,9,no,yes,Certified AI Engineer,Cloud Computing,very good,very good,developer,Cloud Computing,developer,no,Science,Technical,hard worker,yes,no,Cloud Solutions Architect
9,7,9,5,yes,yes,devops certified engineer,DevOps,excellent,excellent,developer,DevOps,Product based,no,Self help,Technical,smart worker,yes,no,DevOps Engineer
1,3,8,9,no,no,blockchain developer,Blockchain Technologies,excellent,very good,cloud computing,Blockchain Development,Data Science Firms,yes,History,Technical,hard worker,no,yes,Blockchain Developer
7,4,5,1,yes,no,Certified ERP Consultant,ERP Systems,good,excellent,security,ERP,Product based,no,Science fiction,Management,smart worker,no,no,ERP Consultant
4,7,6,8,no,yes,Robotics Engineering Certification,Cloud Computing,excellent,excellent,security,Cloud Computing,developer,no,Guide,Technical,smart worker,yes,no,Cloud Solutions Architect
1,2,10,2,no,yes,devops certified engineer,DevOps,medium,excellent,developer,DevOps,IoT Startups,no,Science,Technical,smart worker,no,yes,DevOps Engineer
9,5,5,7,yes,yes,Cybersecurity,Cybersecurity,good,very good,cloud computing,Cybersecurity,AI Research Labs,no,Guide,Technical,hard worker,yes,yes,Cybersecurity Analyst
6,2,2,6,yes,yes,Certified ERP Consultant,ERP Systems,excellent,good,developer,ERP,Finance,no,Art,Management,smart worker,yes,no,ERP Consultant
